localCode,localShortName,snomedCode,snomedDisplayName
Milz,,433308004,Specimen from spleen (specimen)
Appendix PE,,309222007,Appendix specimen (specimen)
Ureter,,399402006,Specimen from ureter (specimen)
Cholesteatom PE,,172748005,Excision of cholesteatoma (procedure)
Ileum,,122641005,Specimen from ileum obtained by segmental resection (specimen)
Larynx,,430144001,Specimen from larynx (specimen)
Pankreas,,127469001,Specimen from pancreas (specimen)
Haut PE,,309066003,Skin biopsy specimen (specimen)
Bronchus PE,,119391001,Specimen from bronchus (specimen)
Vagina PE,,309280002,Vaginal biopsy specimen (specimen)
Peritoneum PE,,432982004,Specimen from peritoneum obtained by fine needle aspiration biopsy (specimen)
Weichteilgewebe PE,,309074002,Soft tissue biopsy specimen (specimen)
Abdomen ZY,,443654002,Specimen from abdominal cavity (specimen)
Kiefer PE,,,
Myom,,,
Niere PE,,309269002,Kidney biopsy specimen (specimen)
Niere ZY,,110948009,Kidney cytologic material (specimen)
Knochen,,430268003,Specimen from bone (specimen)
Urethra,,119393003,Specimen from urethra (specimen)
Urethra SS,,258530009,Urethral swab (specimen)
Meniskus,,,
B-Stanze nach 2. Gabe Gdouze,,,
Gehörgang PE,,732976006,Fluid specimen from external auditory canal (specimen)
Perikard,,430244006,Specimen from pericardium (specimen)
Parotis PE,,16222971000119102,Specimen from parotid gland obtained by biopsy (specimen)
Kieferhöhle PE,,67949002,Maxillary sinus endoscopy with biopsy (procedure)
Knochen PE,,309105004,Bone biopsy specimen (specimen)
Tonsille PE,,309191000,Tonsil biopsy specimen (specimen)
Herz PE,,122623002,Specimen from heart obtained by biopsy (specimen)
Larynx PE,,309182004,Larynx biopsy specimen (specimen)
Trachea PE,,309169007,Tracheal biopsy specimen (specimen)
Ureter PE,,309271002,Ureter biopsy specimen (specimen)
Pharynx PE,,309193002,Pharyngeal biopsy specimen (specimen)
Omentum PE,,309208007,Omentum biopsy specimen (specimen)
Nasennebenhöhle PE,,430238007,Specimen from nasal sinus (specimen)
Duodenum,,235261009,Biopsy of duodenum (procedure)
Lippen PE,,309483002,Lip biopsy specimen (specimen)
Pharynx,,472881004,Swab from pharynx (specimen)
Trachea,,119390000,Specimen from trachea (specimen)
Mamille,,237395009,Biopsy of lesion of nipple and areola (procedure)
Arterien TE,,432097003,Specimen from artery obtained by biopsy (specimen)
Mamille PE,,265254004,Biopsy of lesion of nipple (procedure)
Nierenbecken,,397233003,Specimen from renal pelvis (specimen)
Pleura PE,,309172000,Pleura biopsy specimen (specimen)
Speicheldrüse,,399747006,Specimen from salivary gland (specimen)
Ovar PE,,122708000,Specimen from ovary obtained by biopsy (specimen)
Mediastinum,,433326001,Specimen from mediastinum (specimen)
Hoden PE,,128154006,Specimen from testis (specimen)
Mesenterium,,433322004,Specimen from mesentery (specimen)
Abdomen PE,,443654002,Specimen from abdominal cavity (specimen)
Schilddrüse PE,,432984003,Specimen from thyroid obtained by biopsy (specimen)
Retroperitoneum,,433323009,Specimen from retroperitoneum (specimen)
Auge PE,,119399004,Specimen from eye (specimen)
Nebenniere,,309141004,Adrenal gland specimen (specimen)
Nebenniere PE,,309143001,Excised adrenal gland specimen (specimen)
Speicheldrüse PE,,433119005,Specimen from salivary gland obtained by biopsy (specimen)
Penis,,119397002,Specimen from penis (specimen)
Urethra PE,,309277003,Urethra biopsy specimen (specimen)
Nierenbecken PE,,397221008,Specimen from renal pelvis obtained by biopsy (specimen)
Nasenhöhle,,430245007,Specimen from nasal fossae (specimen)
Gallenwege,,309493009,Bile duct biopsy specimen (specimen)
Thymus,,396896007,Specimen from thymus gland (specimen)
Gelenk PE,,309124001,Joint biopsy specimen (specimen)
Herz,,127462005,Specimen from heart (specimen)
Kieferhöhle,,429836002,Specimen from maxillary sinus obtained by irrigation (specimen)
Lymphknoten ZY,,110898006,Lymph node cytologic material (specimen)
Gehörgang,,732976006,Fluid specimen from external auditory canal (specimen)
Zervix,,119395005,Specimen from uterine cervix (specimen)
Samenblase,,430131006,Specimen from seminal vesicle (specimen)
Pankreas ZY,,127470000,Tissue specimen from pancreas (specimen)
Ductus choledochus ZY,,446129006,Bile specimen from common bile duct (specimen)
Penis PE,,432142005,Specimen from penis obtained by biopsy (specimen)
Speicheldrüse ZY,,110930000,Salivary gland cytologic material (specimen)
Adenoide TE,,40849006,Biopsy of adenoids (procedure)
Harnblase OP,,14861000,Operation on bladder (procedure)
Knochenmark,,119359002,Bone marrow specimen (specimen)
Muskel,,705054005,Muscle specimen (specimen)
Nebenschilddrüse,,309149002,Parathyroid specimen (specimen)
Ductus choledochus PE,,446129006,Bile specimen from common bile duct (specimen)
Zwerchfell PE,,367405008,Excision of tissue of diaphragm (procedure)
Ureter ZY,,110960005,Ureter cytologic material (specimen)
Venen,,309480004,Vein specimen (specimen)
Gallenwege ZY,,110928002,Bile duct cytologic material (specimen)
Endometrium,,119396006,Specimen from endometrium (specimen)
Lippen,,430133009,Specimen from lip (specimen)
Knochenmark ZY,,110897001,Bone marrow cytological material (specimen)
GBG-GAIN2-Stanze,,,
Gehirn,,119398007,Specimen from brain (specimen)
Bronchus,,119391001,Specimen from bronchus (specimen)
Whipple,,397056002,Specimen from small intestine obtained by Whipple resection (specimen)
Parotis ZY,,110932008,Parotid gland cytologic material (specimen)
Zahn,,430319000,Specimen from tooth (specimen)
Adnexe SS,,,
GBG-Penelope Lymphknoten,,,
Knochen HNO,,,
Hypophyse,,309154006,Pituitary specimen (specimen)
Nebenhoden,,309140003,Epididymis specimen (specimen)
Exenteration männlich,,65111004,Pelvic exenteration male (procedure)
Exenteration weiblich,,55853002,Pelvic exenteration female (procedure)
Ductus deferns TE,,110939004,Vas deferens cytologic material (specimen)
Ductus choledochus,,446129006,Bile specimen from common bile duct (specimen)
Sonstiges Groß,,,
Sonstiges Klein,,,
